Mine_ID,Latitude,Longitude,State,Mine_Name,Mine_Status,Substatus,Commodity,C1_Temperature,C2_Rainfall,C3_Faults,C4_Direct_Use,C5_Roads,C6_Railways,C7_Powerlines,C8_Ports,C9_Health,C10_Manufacturing,C11_Agriculture,C12_Education,C13_Data_Centres,C14_Built_Up,TOPSIS_Score,Rank,Suitability_Class
17535,-35.091862,148.131221,NSW,Jackalass Lead,Inactive mine,Ceased/Terminated,Au,27.1364,800.0,2.60011191132,24.6394814442,0.60293529843,3.07439990879,1.02297197284,261.253308262,5.12608961655,22.7631019813,52.6536450817,25.1888779244,69.2534509039,2.61388758956,0.838917,15149,Suitable
17536,-35.085097,148.178844,NSW,Idylway Mine,Inactive mine,Ceased/Terminated,Au,27.1372,800.0,6.89772974882,24.3125423415,1.64745831985,5.99463102612,2.8309396769,256.874810612,7.86667878734,23.7907062653,51.6880826906,24.864158026,73.6077790638,6.19635965286,0.838237,15779,Suitable
17537,-35.104033,148.131389,NSW,Groths Mine,Inactive mine,Ceased/Terminated,Au,27.1709,800.0,2.09943969733,23.3602539542,1.79866239196,3.50444276611,2.37610861765,261.591849197,6.33123539607,21.4095271952,54.0006047031,23.9084421688,69.2428372171,3.30751455148,0.83887,15196,Suitable
17538,-35.105718,148.14403,NSW,Deans Gossan,Inactive mine,Ceased/Terminated,Au,27.1719,800.0,3.07796555375,22.8083223175,1.48560349588,4.62407809751,2.84018628156,260.532682435,7.05010245385,21.2184969899,54.0987878198,23.3591188507,70.3909022896,4.38670223367,0.838774,15301,Suitable
17539,-35.103171,148.077616,NSW,Unnamed Mine 17539,Inactive mine,Ceased/Terminated,Cu,27.1806,800.0,2.42718316761,25.5539670339,0.71132944686,0.64083258108,0.57954414309,266.288057579,6.07744639357,22.1953117908,54.5545833907,26.080943099,64.3537841155,2.36867398097,0.839004,15065,Suitable
17540,-35.116081,148.144724,NSW,Mount Potter Mine,Inactive mine,Ceased/Terminated,Au,27.1974,800.0,2.67447826653,21.6933135211,2.6230711359,5.23490810447,3.93194002094,260.780037816,8.07438437701,20.0679500045,55.2448143732,22.2434378984,70.4557951555,5.08486824525,0.838702,15396,Suitable
17541,-35.115463,148.162273,NSW,St Patricks Mine,Inactive mine,Ceased/Terminated,Au,27.1861,800.0,4.04879726738,21.3069402029,1.50899488562,6.58448159643,4.56011240123,259.225045763,8.89524457001,20.244528389,55.0973306171,21.8595501882,72.0508820263,6.36341157729,0.838585,15502,Suitable
17542,-35.130401,148.107608,NSW,Stony Creek Lode,Inactive mine,Ceased/Terminated,Au,27.2684,800.0,1.05565628185,21.5750557931,0.23924526673,4.04243818522,0.41245269556,264.459817963,8.69381058802,18.6787803619,57.1435662352,22.1079535724,67.1165620516,4.78782786809,0.839238,14838,Suitable
17543,-35.134281,148.126869,NSW,"Lady Milburn Mine, Groths Mine, Bark Hut",Inactive mine,Ceased/Terminated,Au,27.2614,800.0,0.20920580255,20.4064142382,1.27691762168,5.39261327788,1.48325946466,262.893108802,9.38372890898,18.0664686976,57.3879601955,20.9477200815,68.8824566309,5.72698245175,0.839145,14930,Suitable
17544,-35.223852,148.093494,NSW,Smiths Mine,Inactive mine,Ceased/Terminated,Au,27.585,800.0,4.17223554363,14.3855222597,4.69660504461,1.400813452,4.54012570937,265.837574518,14.0699068856,9.04903429202,55.3458082025,14.8097725703,67.0076835204,8.57432633118,0.83919,14879,Suitable
